UsageClass	CheckoutType	MaterialType	CheckoutYear	CheckoutMonth	Checkouts	Title	ISBN	Creator	Subjects	Publisher	PublicationYear
Digital	OverDrive	EBOOK	2020	6	3	The MAGA Doctrine: The Only Ideas That Will Win the Future		Charlie Kirk	Nonfiction, Politics	HarperCollins Publishers Inc.	2020
Digital	OverDrive	EBOOK	2020	6	2	Demonic: How the Liberal Mob Is Endangering America		Ann Coulter	Nonfiction, Politics	Random House, Inc.	2011
Digital	OverDrive	EBOOK	2020	6	1	Finks: How the C.I.A. Tricked the World's Best Writers		Joel Whitney	Nonfiction, Politics	Perseus Books Group	2017
Digital	OverDrive	EBOOK	2020	6	2	The President's Book of Secrets: The Untold Story of Intelligence Briefings to America's Presidents from Kennedy to Obama		David Priess	Nonfiction, Politics	Hachette Digital, Inc.	2016
Digital	OverDrive	AUDIOBOOK	2020	6	1	Hacks: The Inside Story of the Break-ins and Breakdowns That Put Donald Trump in the White House (unabridged) (Unabridged)		Donna Brazile	Nonfiction, Politics	Hachette Audio	2017
Digital	OverDrive	EBOOK	2020	6	1	Never Play Dead: How the Truth Makes You Unstoppable		Tomi Lahren	Nonfiction, Politics	HarperCollins Publishers Inc.	2019
Digital	OverDrive	EBOOK	2020	6	2	The World As It Is: Dispatches on the Myth of Human Progress		Chris Hedges	Nonfiction, Politics	Hachette Digital, Inc.	2012
Digital	OverDrive	AUDIOBOOK	2020	6	4	Who Let the Dogs In?: Incredible Political Animals I Have Known (unabridged) (Unabridged)		Molly Ivins	Nonfiction, Politics	Books on Tape	2013
Digital	OverDrive	EBOOK	2020	6	1	DIY Resistance: 36 Ways to Fight Back!		Anthony Alvarado	Nonfiction, Politics	Random House, Inc.	2018
Digital	OverDrive	EBOOK	2020	6	1	The Secrets of the FBI		Ronald Kessler	Nonfiction, Politics	Random House, Inc.	2011
Digital	OverDrive	AUDIOBOOK	2020	6	1	Trump and the American Future: Solving the Great Problems of Our Time (unabridged) (Unabridged)		Newt Gingrich	Nonfiction, Politics	Blackstone Audio, Inc.	2020
Digital	OverDrive	AUDIOBOOK	2020	6	1	The Wise Men Know What Wicked Things Are Written on the Sky (Unabridged)		Russell Kirk	Nonfiction, Politics	Blackstone Audio, Inc.	2008
Digital	OverDrive	EBOOK	2020	6	24	Front Row at the Trump Show		Jonathan Karl	Nonfiction, Politics	Penguin Group (USA), Inc.	2020
Digital	OverDrive	AUDIOBOOK	2020	6	3	American Crusade: Our Fight to Stay Free (unabridged) (Unabridged)		Pete Hegseth	Nonfiction, Politics	Blackstone Audio, Inc.	2020
Digital	OverDrive	AUDIOBOOK	2020	6	1	Guilty by Reason of Insanity: Why The Democrats Must Not Win (unabridged) (Unabridged)		David Limbaugh	Nonfiction, Politics	Simon & Schuster - Audiobooks	2019
Digital	OverDrive	AUDIOBOOK	2020	6	7	Politics is for Power: How to Move Beyond Political Hobbyism, Take Action, and Make Real Change (unabridged) (Unabridged)		Eitan Hersh	Nonfiction, Politics	Simon & Schuster - Audiobooks	2020
Digital	OverDrive	EBOOK	2020	6	1	Liars, Leakers, and Liberals: The Case Against the Anti-Trump Conspiracy		Jeanine Pirro	Nonfiction, Politics	Hachette Digital, Inc.	2018
Digital	OverDrive	EBOOK	2020	6	1	Death of the Liberal Class		Chris Hedges	Nonfiction, Politics	Hachette Digital, Inc.	2010
Digital	OverDrive	EBOOK	2020	6	3	Anarchism and Other Essays		Emma Goldman	Nonfiction, Politics	Duke Classics	2020
